Center-X(mm),Center-Y(mm),Comment,Description,Designator,Footprint,Layer,LibRef,Quantity,Rotation,Variant,Revision,Trenz-Stock,Value,AN,Case,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,Ref-X(mm),Ref-Y(mm)
"43.81","36.94","1K13","WID SMD 1K13 1% 0,063W","R57","RESC1005X40N","Top","23160","1","90","","01","","1.13K","23160","1005 (0402)","SMT","Yes","","1%","","","43.81","36.94"
"3.99","66.377","KMS221GLFS","KMS221GLFS - SWITCH, SPST, 0.05A, 32VDC, SMD","S1","KMS2xxGLFS","Top","26229","1","180","","01","","","26229","","SMT","","","","","","3.99","66.69"
"41.422","53.057","Testpoint 1mm","Testpoint 1mm","TP1","TP_1mm","Bottom","25063","1","90","","01","","","25063","","SMT","","","","","","41.422","53.057"
"39.891","51.668","Testpoint 1mm","Testpoint 1mm","TP2","TP_1mm","Bottom","25063","1","90","","01","","","25063","","SMT","","","","","","39.891","51.668"
"43.005","51.362","Testpoint 1mm","Testpoint 1mm","TP3","TP_1mm","Bottom","25063","1","90","","01","","","25063","","SMT","","","","","","43.005","51.362"
"39.37","54.404","Testpoint 1mm","Testpoint 1mm","TP4","TP_1mm","Bottom","25063","1","90","","01","","","25063","","SMT","","","","","","39.37","54.404"
"27.69","30.83","XC7Z7010-CLG225","","U1","","Top","XC7Z7010-CLG225","1","90","","01","","","","","","","","","","","27.69","30.83"
"36.64","47.63","FT2232HQ","FT2232HQ","U3","QFN50P900X900X100-65N-445","Top","24727","1","180","","01","Yes","","24727","QFN64","SMT","Yes","","","","","36.64","47.63"
"47.535","60.87","PRTR5V0U2X,215","PRTR5V0U2X,215","U4","SOT190P229X114-4N","Top","24840","1","0","","01","","","24840","SOT143","SMT","Yes","","","","","47.56","60.87"
"13.364","38.772","S25FL127SABMFV10","S25FL127SABMFV10 automotive SO8","U5","SOIC127P790X216-8N","Top","26078","1","90","","01","","","26078","SO8W","SMT","","","","","","13.364","38.772"
"40.18","39.1","93AA56BT-I/OT","93AA56BT-I/OT","U6","SOT95P280X145-6N","Top","24730","1","0","","01","Yes","","24730","SOT23-6","SMT","Yes","","","","","40.18","39.1"
"44.67","42.81","SiT8008AI-73-XXS-12.000000E","SiT8008AI-73-XXS-12.000000E MEMS Oszillator 12MHz","U7","2016","Top","25325","1","180","","01","Yes","12M","25325","2.0  x 1.6mm","SMT","Yes","","","","","44.67","42.81"
"24.09","17.68","MT42L32M16D1AB-25 IT:A","MT42L32M16D1AB-25 IT:A","U8","BGA121C50P15X11_800X650X80B32N","Bottom","26300","1","90","","01","","","26300","BGA121","SMT","","","","","","24.09","17.68"
"8.721","17.634","CD74HC4051D","CD74HC4051D","U10","SOIC127P600X175-16N","Top","26538","1","0","","01","Yes","","26538","SOIC16 D (R-PDSO-G16)","SMT","","","","","","8.721","17.634"
"9.207","24.706","AD8031ART","AD8031ART","U11","SOT95P280X145-5N","Top","25377","1","0","","01","Yes","","25377","SOT23-5","SMT","","","","","","9.207","24.706"
"31.51","54.48","SiT8008AI-73-XXS-52.000000E","SiT8008AI-73-XXS-52.000000E MEMS Oszillator 52MHz","U14","2016","Bottom","25009","1","180","","01","Yes","52M","25009","2.0  x 1.6mm","SMT","Yes","","","","","31.51","54.48"
"42.69","16.39","EN5311QI","EN5311QI","U16","EN5311QI","Top","25492","1","270","","01","Yes","","25492","QFN20","SMT","Yes","","","","","42.69","16.39"
"39.68","28.75","EN5311QI","EN5311QI","U17","EN5311QI","Bottom","25492","1","0","","01","Yes","","25492","QFN20","SMT","Yes","","","","","39.68","28.75"
"26.2","51.92","USB3320C-EZK","USB3320C-EZK","U18","QFN50P500X500X100-33N-345","Bottom","24992","1","90","","01","Yes","","24992","QFN32","SMT","","","","","","26.2","51.92"
"42.82","23.51","EN5311QI","EN5311QI","U19","EN5311QI","Top","25492","1","270","","01","Yes","","25492","QFN20","SMT","Yes","","","","","42.82","23.51"
"14.23","50","EN5311QI","EN5311QI","U20","EN5311QI","Top","25492","1","0","","01","Yes","","25492","QFN20","SMT","Yes","","","","","14.23","50"
"38.11","58.1","TPS2051DGN","TPS2051BDGN","U21","SOP65P488X107-9N-TI","Top","25167","1","180","","01","Yes","","25167","","SMT","Yes","","","","","38.11","58.1"
"29.93","59.335","PRTR5V0U2X,215","PRTR5V0U2X,215","U22","SOT190P229X114-4N","Top","24840","1","270","","01","","","24840","SOT143","SMT","Yes","","","","","29.93","59.31"
"6.58","46.32","TPS3805H33DCKR","TPS3805H33DCKR","U23","SOT65P210X110-5N","Top","25049","1","90","","01","Yes","","25049","SC70-5 / SC88A / SOT353","SMT","Yes","","","","","6.58","46.32"
